EmpID,FirstName,LastName,StartDate,ExitDate,EmployeeStatus,EmployeeType,EmployeeClassificationType,DepartmentType,DOB,JobFunctionDescription,GenderCode,Education,Age,Experience,Salary,Attrition
3445,Reid,Park,2021+AC0-01+AC0-16,,Active,Contract,Full+AC0-Time,Sales,1985+AC0-12+AC0-07,Supervisor,Female,High School,39,4,26000,No
3446,Hector,Dalton,2021+AC0-08+AC0-24,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1996+AC0-05+AC0-01,Driller,Female,High School,29,3,24500,No
3447,Mariela,Schultz,2020+AC0-05+AC0-26,2023+AC0-06+AC0-18,Future Start,Part+AC0-Time,Part+AC0-Time,Sales,1964+AC0-02+AC0-17,Technician,Female,Bachelor's,61,5,33000,Yes
3448,Angela,Molina,2019+AC0-10+AC0-01,2020+AC0-11+AC0-06,Future Start,Full+AC0-Time,Temporary,Sales,1958+AC0-05+AC0-12,Specialist,Male,Bachelor's,67,5,33000,Yes
3449,Gerald,Preston,2023+AC0-05+AC0-10,2023+AC0-05+AC0-27,Future Start,Contract,Temporary,Sales,1992+AC0-09+AC0-18,Technician,Male,Bachelor's,32,2,27600,Yes
3450,Reilly,Moyer,2020+AC0-09+AC0-01,2022+AC0-12+AC0-04,Active,Contract,Temporary,Sales,1994+AC0-08+AC0-11,Operator,Male,PhD,30,4,46800,Yes
3451,Carlee,French,2021+AC0-02+AC0-18,2022+AC0-11+AC0-11,Active,Contract,Full+AC0-Time,Sales,1968+AC0-01+AC0-15,Technician,Male,Bachelor's,57,4,31200,Yes
3452,Jaydon,Blackburn,2022+AC0-11+AC0-08,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1947+AC0-01+AC0-07,Foreman,Male,Bachelor's,78,2,27600,No
3453,Bridger,Carter,2022+AC0-10+AC0-13,,Active,Contract,Part+AC0-Time,Sales,1982+AC0-04+AC0-07,Engineer,Male,High School,43,2,31000,No
3454,Leon,Beard,2022+AC0-09+AC0-11,,Active,Full+AC0-Time,Full+AC0-Time,IT/IS,1970+AC0-01+AC0-29,Foreman,Male,High School,55,2,23000,No
3455,Charity,Miranda,2021+AC0-06+AC0-29,2022+AC0-07+AC0-05,Active,Full+AC0-Time,Temporary,Sales,1999+AC0-01+AC0-18,Manager,Male,Bachelor's,26,4,43200,Yes
3456,Axel,Howe,2023+AC0-03+AC0-06,,Active,Full+AC0-Time,Temporary,Sales,1946+AC0-09+AC0-25,Technician,Female,Master's,78,2,34500,No
3457,Milton,Wall,2020+AC0-09+AC0-25,,Active,Full+AC0-Time,Temporary,Sales,1947+AC0-08+AC0-23,Technician,Female,High School,77,4,26000,No
3458,Cory,Robinson,2022+AC0-04+AC0-28,2023+AC0-05+AC0-24,Future Start,Contract,Full+AC0-Time,Sales,1996+AC0-08+AC0-12,Laborer,Female,Master's,28,3,42750,Yes
3459,Saniya,Yu,2021+AC0-04+AC0-18,2022+AC0-06+AC0-21,Future Start,Part+AC0-Time,Full+AC0-Time,Sales,1944+AC0-02+AC0-09,Splicer,Male,Bachelor's,81,4,31200,Yes
3460,Alisa,James,2020+AC0-02+AC0-19,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1944+AC0-02+AC0-10,Lineman,Male,Bachelor's,81,5,33000,No
3461,Lincoln,Compton,2019+AC0-07+AC0-18,2021+AC0-10+AC0-01,Future Start,Full+AC0-Time,Part+AC0-Time,Sales,1997+AC0-12+AC0-29,Foreman,Male,PhD,27,6,52200,Yes
3462,Aliana,Nolan,2018+AC0-09+AC0-13,2021+AC0-09+AC0-17,Active,Contract,Full+AC0-Time,Sales,1942+AC0-08+AC0-09,Coordinator,Male,High School,82,6,29000,Yes
3463,Kayden,Dodson,2020+AC0-04+AC0-30,2021+AC0-07+AC0-18,Active,Part+AC0-Time,Temporary,Sales,1951+AC0-06+AC0-21,Tower Hand,Male,Master's,74,5,41250,Yes
3464,James,Duke,2018+AC0-12+AC0-03,2022+AC0-09+AC0-09,Active,Contract,Full+AC0-Time,Sales,1998+AC0-06+AC0-17,Mechanic,Male,PhD,27,6,52200,Yes
3465,Willow,Stuart,2021+AC0-11+AC0-08,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1962+AC0-01+AC0-07,Flagger,Male,High School,63,3,24500,No
3466,Clayton,Walker,2022+AC0-04+AC0-13,2023+AC0-04+AC0-10,Active,Part+AC0-Time,Full+AC0-Time,IT/IS,1979+AC0-01+AC0-26,Supervisor,Male,Master's,46,3,36750,Yes
3467,Celia,Curtis,2020+AC0-05+AC0-06,,Active,Contract,Part+AC0-Time,Sales,1987+AC0-05+AC0-14,Engineer,Female,High School,38,5,35500,No
3468,Valentin,Reilly,2019+AC0-09+AC0-09,,Active,Contract,Temporary,Sales,1998+AC0-04+AC0-26,Foreman,Female,PhD,27,5,49500,No
3469,Ryland,Shepherd,2020+AC0-07+AC0-29,2023+AC0-01+AC0-05,Future Start,Contract,Full+AC0-Time,Sales,1945+AC0-02+AC0-21,Driver,Female,High School,80,5,27500,Yes
3470,Esteban,Gilbert,2018+AC0-11+AC0-14,2019+AC0-10+AC0-28,Future Start,Contract,Part+AC0-Time,Sales,1997+AC0-05+AC0-31,Technician,Female,Master's,28,6,43500,Yes
3471,Jonathan,Adkins,2020+AC0-02+AC0-29,,Active,Part+AC0-Time,Temporary,Sales,1967+AC0-01+AC0-03,Foreman,Male,Master's,58,5,41250,No
3472,Nevaeh,Soto,2023+AC0-01+AC0-15,,Active,Contract,Full+AC0-Time,Sales,1982+AC0-01+AC0-12,Director,Male,Bachelor's,43,2,27600,No
3473,Chaim,Mata,2023+AC0-06+AC0-29,,Active,Part+AC0-Time,Temporary,Sales,1950+AC0-10+AC0-01,Manager,Male,PhD,74,2,59400,No
3474,Arely,Patton,2020+AC0-03+AC0-09,,Active,Full+AC0-Time,Temporary,Sales,1965+AC0-12+AC0-16,Laborer,Male,Master's,59,5,47250,No
3475,Vance,Trujillo,2021+AC0-09+AC0-21,2023+AC0-04+AC0-13,Active,Full+AC0-Time,Temporary,Sales,1957+AC0-12+AC0-25,Foreman,Male,Bachelor's,67,3,29400,Yes
3476,Charlie,Koch,2023+AC0-06+AC0-12,2023+AC0-07+AC0-06,Active,Part+AC0-Time,Temporary,Sales,1945+AC0-06+AC0-20,Engineer,Male,Bachelor's,80,2,37200,Yes
3477,Sonny,Horne,2019+AC0-04+AC0-07,,Active,Part+AC0-Time,Full+AC0-Time,IT/IS,1969+AC0-12+AC0-03,Laborer,Female,Bachelor's,55,6,39600,No
3478,Thomas,Chandler,2018+AC0-09+AC0-17,2019+AC0-01+AC0-09,Active,Full+AC0-Time,Temporary,Sales,1957+AC0-10+AC0-10,Groundman,Female,High School,67,6,29000,Yes
3479,Sarai,Stone,2022+AC0-08+AC0-02,2023+AC0-04+AC0-02,Active,Contract,Part+AC0-Time,Sales,1962+AC0-05+AC0-17,Technician,Female,High School,63,3,24500,Yes
3480,Jerimiah,Harmon,2022+AC0-09+AC0-08,2022+AC0-10+AC0-16,Future Start,Full+AC0-Time,Temporary,Sales,1946+AC0-08+AC0-09,Supervisor,Female,Bachelor's,78,2,27600,Yes
3481,Leland,Allen,2019+AC0-03+AC0-07,2021+AC0-05+AC0-31,Future Start,Full+AC0-Time,Part+AC0-Time,Sales,1965+AC0-12+AC0-11,Splicer,Male,PhD,59,6,52200,Yes
3482,Cristal,Bolton,2019+AC0-10+AC0-29,2021+AC0-02+AC0-07,Future Start,Full+AC0-Time,Temporary,Sales,1990+AC0-02+AC0-11,Lineman,Male,PhD,35,5,49500,Yes
3483,Jaslene,Harding,2021+AC0-09+AC0-26,,Active,Part+AC0-Time,Temporary,Sales,1964+AC0-06+AC0-19,Coordinator,Male,High School,61,3,24500,No
3484,Albert,Gonzalez,2018+AC0-08+AC0-29,,Active,Part+AC0-Time,Full+AC0-Time,Sales,1995+AC0-07+AC0-18,Model Assistant,Male,High School,30,6,32000,No
3485,Jaiden,Johnson,2021+AC0-10+AC0-26,,Active,Contract,Full+AC0-Time,Sales,1994+AC0-08+AC0-22,Laborer,Male,Bachelor's,30,3,34200,No
3486,Brendon,Mcconnell,2022+AC0-10+AC0-31,2023+AC0-06+AC0-08,Active,Part+AC0-Time,Temporary,Sales,1990+AC0-11+AC0-14,Engineer,Male,Master's,34,2,46500,Yes
3487,Kimora,Parsons,2023+AC0-03+AC0-15,,Active,Contract,Part+AC0-Time,Sales,1994+AC0-02+AC0-01,Administrator,Female,Master's,31,2,34500,No
3488,Willie,Patterson,2022+AC0-09+AC0-09,,Active,Contract,Full+AC0-Time,Sales,1997+AC0-11+AC0-12,Lineman,Female,Master's,27,2,34500,No
3489,Devyn,Powers,2022+AC0-03+AC0-04,,Active,Part+AC0-Time,Temporary,Sales,1953+AC0-05+AC0-02,Laborer,Female,PhD,72,3,51300,No
3490,Weston,Preston,2019+AC0-02+AC0-11,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1991+AC0-07+AC0-10,Director,Female,Bachelor's,34,6,34800,No
3491,Lennon,Buchanan,2021+AC0-01+AC0-26,,Active,Contract,Full+AC0-Time,Sales,1973+AC0-06+AC0-02,Driver,Male,Master's,52,4,39000,No
3492,Vicente,Merritt,2019+AC0-11+AC0-26,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1993+AC0-01+AC0-08,Clerk,Male,Bachelor's,32,5,37800,No
3493,Hugo,Clay,2019+AC0-07+AC0-15,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1984+AC0-04+AC0-17,Project Manager,Male,PhD,41,6,70200,No
3494,Cohen,Raymond,2020+AC0-06+AC0-18,,Active,Contract,Full+AC0-Time,Sales,1994+AC0-02+AC0-08,Technician,Male,PhD,31,5,49500,No
3495,Tia,Ellis,2023+AC0-06+AC0-22,2023+AC0-07+AC0-22,Active,Part+AC0-Time,Temporary,Sales,1993+AC0-01+AC0-27,Laborer,Male,High School,32,2,27000,Yes
3496,Aspen,Bentley,2021+AC0-12+AC0-02,,Active,Contract,Part+AC0-Time,Sales,1964+AC0-09+AC0-19,Administrator,Male,Bachelor's,60,3,29400,No
3497,Graham,Rodriguez,2021+AC0-12+AC0-08,,Active,Part+AC0-Time,Temporary,Sales,1981+AC0-02+AC0-18,Lineman,Female,Master's,44,3,36750,No
3498,Joel,Mcmillan,2023+AC0-04+AC0-26,2023+AC0-06+AC0-22,Active,Full+AC0-Time,Full+AC0-Time,Sales,1998+AC0-10+AC0-17,Laborer,Female,Master's,26,2,40500,Yes
3499,Maci,Frost,2018+AC0-09+AC0-25,2021+AC0-12+AC0-20,Active,Part+AC0-Time,Temporary,Sales,1971+AC0-01+AC0-16,Technician,Female,Master's,54,6,43500,Yes
3500,Nevaeh,Lucas,2018+AC0-11+AC0-20,2020+AC0-06+AC0-21,Active,Full+AC0-Time,Part+AC0-Time,Sales,2000+AC0-02+AC0-25,Mechanic,Female,Bachelor's,25,6,34800,Yes
3501,Garrett,Zimmerman,2020+AC0-08+AC0-30,2022+AC0-08+AC0-30,Future Start,Part+AC0-Time,Part+AC0-Time,Sales,1959+AC0-04+AC0-19,Technician,Male,Bachelor's,66,4,31200,Yes
3502,Eugene,Marks,2019+AC0-10+AC0-01,,Active,Full+AC0-Time,Temporary,Sales,1976+AC0-06+AC0-29,Electrician,Male,High School,49,5,27500,No
3503,Geovanni,Pugh,2022+AC0-01+AC0-20,,Active,Part+AC0-Time,Temporary,Sales,1951+AC0-07+AC0-27,Manager,Male,Bachelor's,74,3,41400,No
3504,Javon,Kelley,2021+AC0-10+AC0-10,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1980+AC0-08+AC0-23,Laborer,Male,PhD,44,3,51300,No
3505,Amaya,Hicks,2020+AC0-08+AC0-29,,Active,Contract,Temporary,Sales,1943+AC0-07+AC0-24,Groundman,Male,Bachelor's,82,4,31200,No
3506,Laila,Woodard,2019+AC0-08+AC0-27,2023+AC0-05+AC0-10,Active,Full+AC0-Time,Temporary,Sales,1988+AC0-07+AC0-06,Technician,Male,PhD,37,5,49500,Yes
3507,Ivan,Huff,2021+AC0-02+AC0-25,2023+AC0-04+AC0-07,Active,Full+AC0-Time,Full+AC0-Time,Sales,1973+AC0-03+AC0-24,Manager,Male,PhD,52,4,64800,Yes
3508,Aidan,Harding,2021+AC0-07+AC0-13,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1942+AC0-05+AC0-26,Laborer,Male,Master's,83,4,45000,No
3509,Cruz,Boyer,2021+AC0-04+AC0-14,,Active,Part+AC0-Time,Full+AC0-Time,Sales,1977+AC0-11+AC0-04,Project Controls,Female,Bachelor's,47,4,31200,No
3510,Raven,Koch,2020+AC0-02+AC0-10,,Active,Part+AC0-Time,Full+AC0-Time,Sales,1956+AC0-10+AC0-17,Laborer,Female,High School,68,5,31500,No
3511,Karli,Barker,2021+AC0-08+AC0-17,2021+AC0-12+AC0-31,Active,Part+AC0-Time,Full+AC0-Time,Sales,1997+AC0-02+AC0-18,Director,Female,Bachelor's,28,3,29400,Yes
3512,Tyrone,Sosa,2023+AC0-04+AC0-17,2023+AC0-06+AC0-22,Future Start,Contract,Temporary,Sales,1996+AC0-10+AC0-25,Coordinator,Female,Master's,28,2,34500,Yes
3513,Damaris,Cisneros,2022+AC0-09+AC0-02,2023+AC0-05+AC0-24,Future Start,Contract,Temporary,Sales,1959+AC0-11+AC0-13,Laborer,Male,High School,65,2,27000,Yes
3514,Alexus,Estes,2020+AC0-04+AC0-15,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1958+AC0-01+AC0-03,Manager,Male,Bachelor's,67,5,45000,No
3515,Kinsley,Flowers,2022+AC0-03+AC0-09,2022+AC0-12+AC0-10,Future Start,Part+AC0-Time,Part+AC0-Time,Sales,1997+AC0-04+AC0-29,Controller,Male,High School,28,3,24500,Yes
3516,Deborah,Love,2022+AC0-04+AC0-07,2023+AC0-01+AC0-22,Active,Contract,Part+AC0-Time,Sales,1988+AC0-06+AC0-25,Coordinator,Male,High School,37,3,24500,Yes
3517,Milagros,Francis,2020+AC0-02+AC0-19,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1942+AC0-01+AC0-04,Splicer,Male,Bachelor's,83,5,33000,No
3518,Roberto,Michael,2021+AC0-04+AC0-10,2022+AC0-07+AC0-04,Active,Contract,Part+AC0-Time,Sales,1969+AC0-05+AC0-24,Coordinator,Female,Bachelor's,56,4,31200,Yes
3519,Elaine,Ewing,2021+AC0-12+AC0-19,2022+AC0-03+AC0-02,Active,Part+AC0-Time,Temporary,Sales,1951+AC0-03+AC0-28,Groundman,Male,Bachelor's,74,3,29400,Yes
3520,Caiden,Munoz,2020+AC0-12+AC0-13,2023+AC0-01+AC0-13,Active,Full+AC0-Time,Temporary,Sales,1963+AC0-03+AC0-01,Manager,Female,Bachelor's,62,4,43200,Yes
3521,Jocelyn,Bradford,2019+AC0-02+AC0-26,,Active,Contract,Part+AC0-Time,Sales,1949+AC0-04+AC0-16,Electrician,Female,High School,76,6,29000,No
3522,Marques,Armstrong,2020+AC0-03+AC0-02,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1983+AC0-10+AC0-12,Splicer,Female,Bachelor's,41,5,33000,No
3523,Rohan,Chapman,2021+AC0-06+AC0-25,2022+AC0-08+AC0-25,Active,Full+AC0-Time,Temporary,Sales,1978+AC0-12+AC0-19,Laborer,Female,PhD,46,4,54000,Yes
3524,Emmanuel,Franklin,2021+AC0-07+AC0-26,2022+AC0-05+AC0-04,Future Start,Contract,Full+AC0-Time,Sales,1999+AC0-11+AC0-11,Laborer,Male,High School,25,4,30000,Yes
3525,Clayton,Mccormick,2022+AC0-07+AC0-03,2023+AC0-01+AC0-10,Future Start,Contract,Temporary,Sales,1967+AC0-01+AC0-29,Foreman,Male,Master's,58,3,36750,Yes
3526,Darius,Krause,2022+AC0-09+AC0-15,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1948+AC0-05+AC0-30,Foreman,Male,Master's,77,2,34500,No
3527,Ahmed,Hawkins,2020+AC0-05+AC0-01,2021+AC0-02+AC0-25,Active,Full+AC0-Time,Temporary,Sales,1974+AC0-10+AC0-15,Lineman,Male,Master's,50,5,41250,Yes
3528,Kymani,Benjamin,2022+AC0-10+AC0-13,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1991+AC0-12+AC0-13,Accounting,Male,High School,33,2,29000,No
3529,Callum,Mcdaniel,2020+AC0-01+AC0-03,2020+AC0-08+AC0-24,Active,Part+AC0-Time,Full+AC0-Time,Sales,1994+AC0-06+AC0-18,Top Hand,Male,High School,31,5,27500,Yes
3530,Zariah,Black,2019+AC0-11+AC0-13,,Active,Full+AC0-Time,Part+AC0-Time,Sales,1993+AC0-06+AC0-16,Tower Hand,Female,High School,32,5,27500,No
3531,Ronnie,Mayer,2023+AC0-06+AC0-17,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1943+AC0-05+AC0-18,Project Manager,Male,Bachelor's,82,2,39600,No
3532,Marlon,Ford,2021+AC0-10+AC0-14,,Active,Part+AC0-Time,Full+AC0-Time,IT/IS,1966+AC0-11+AC0-27,Technician,Female,High School,58,3,24500,No
3533,Slade,Griffith,2021+AC0-06+AC0-01,2023+AC0-07+AC0-16,Active,Contract,Full+AC0-Time,Sales,1966+AC0-11+AC0-12,Administrator,Male,High School,58,4,26000,Yes
3534,Lee,Frye,2018+AC0-09+AC0-14,,Active,Full+AC0-Time,Full+AC0-Time,Sales,1959+AC0-08+AC0-16,Engineer,Female,Master's,65,6,55500,No
3535,Veronica,Rowe,2018+AC0-12+AC0-11,2022+AC0-06+AC0-02,Active,Full+AC0-Time,Temporary,Sales,1994+AC0-02+AC0-02,Engineer,Female,Master's,31,6,55500,Yes
3536,Aylin,Berg,2022+AC0-08+AC0-06,,Active,Contract,Temporary,Sales,1989+AC0-01+AC0-02,Administrative,Female,High School,36,2,23000,No
3537,Neveah,Rowe,2022+AC0-05+AC0-28,2023+AC0-02+AC0-24,Future Start,Contract,Part+AC0-Time,Sales,1954+AC0-07+AC0-11,Foreman,Male,High School,71,3,24500,Yes
3538,Keith,Baxter,2019+AC0-06+AC0-16,2022+AC0-03+AC0-05,Future Start,Part+AC0-Time,Part+AC0-Time,Sales,1959+AC0-08+AC0-29,Engineer,Male,Master's,65,6,55500,Yes
3539,Chaz,Bruce,2019+AC0-12+AC0-08,,Active,Full+AC0-Time,Temporary,Sales,1983+AC0-11+AC0-27,Foreman,Male,PhD,41,5,49500,No
3540,Maya,Mccann,2020+AC0-03+AC0-12,2022+AC0-10+AC0-09,Active,Full+AC0-Time,Part+AC0-Time,Sales,1983+AC0-06+AC0-09,Supervisor,Male,Bachelor's,42,5,33000,Yes
3541,Aaron,Weber,2020+AC0-04+AC0-06,2023+AC0-07+AC0-24,Active,Full+AC0-Time,Full+AC0-Time,Sales,1991+AC0-10+AC0-27,Technician,Male,Master's,33,5,41250,Yes
3542,Ellie,Gill,2023+AC0-04+AC0-15,,Active,Contract,Temporary,Sales,1948+AC0-03+AC0-01,Manager,Male,High School,77,2,33000,No
3543,Rayne,Kerr,2020+AC0-11+AC0-10,,Active,Part+AC0-Time,Temporary,Sales,1981+AC0-02+AC0-18,Laborer,Female,Bachelor's,44,4,36000,No
3544,Samara,Mcbride,2023+AC0-06+AC0-29,2023+AC0-07+AC0-09,Active,Contract,Temporary,Sales,2000+AC0-09+AC0-16,Foreman,Male,Master's,24,2,34500,Yes
3545,Ryann,Rubio,2022+AC0-03+AC0-07,,Active,Full+AC0-Time,Temporary,IT/IS,1943+AC0-01+AC0-28,Locator,Female,Bachelor's,82,3,29400,No
3546,Paris,Carr,2021+AC0-07+AC0-31,2023+AC0-01+AC0-27,Active,Full+AC0-Time,Part+AC0-Time,Sales,1980+AC0-07+AC0-14,Foreman,Male,PhD,45,4,46800,Yes
3547,Adriel,Wiggins,2022+AC0-01+AC0-20,,Active,Contract,Full+AC0-Time,Sales,1947+AC0-03+AC0-25,Supervisor,Female,High School,78,3,24500,No
3548,Sanaa,Glass,2021+AC0-07+AC0-11,2022+AC0-10+AC0-10,Active,Part+AC0-Time,Full+AC0-Time,Sales,1964+AC0-01+AC0-25,Technician,Female,Bachelor's,61,4,31200,Yes
3549,Ryan,Lynch,2018+AC0-10+AC0-15,2020+AC0-10+AC0-18,Active,Full+AC0-Time,Full+AC0-Time,Sales,1955+AC0-03+AC0-17,Technician,Female,Bachelor's,70,6,34800,Yes
3550,Charlie,Atkinson,2021+AC0-11+AC0-26,2022+AC0-10+AC0-14,Future Start,Part+AC0-Time,Temporary,Sales,1988+AC0-03+AC0-26,Billing,Male,High School,37,3,24500,Yes
3551,Emery,Roach,2018+AC0-08+AC0-11,,Active,Part+AC0-Time,Part+AC0-Time,Sales,1954+AC0-07+AC0-04,Engineer,Male,Master's,71,6,55500,No
3552,Harper,Ramos,2020+AC0-02+AC0-16,2020+AC0-06+AC0-03,Active,Full+AC0-Time,Full+AC0-Time,Sales,1942+AC0-08+AC0-11,Foreman,Male,Master's,82,5,41250,Yes
3553,Khalil,Mendez,2020+AC0-01+AC0-20,,Active,Contract,Temporary,Sales,1949+AC0-05+AC0-07,Foreman,Male,High School,76,5,27500,No
3554,Lizeth,Holland,2019+AC0-03+AC0-31,,Active,Part+AC0-Time,Temporary,Sales,1958+AC0-10+AC0-14,Cpo,Male,Master's,66,6,43500,No
3555,Matilda,Randall,2023+AC0-01+AC0-06,2023+AC0-05+AC0-07,Active,Full+AC0-Time,Temporary,Sales,1988+AC0-01+AC0-11,Drafter,Female,Bachelor's,37,2,27600,Yes
3556,Damien,Howe,2019+AC0-07+AC0-18,2020+AC0-01+AC0-15,Active,Full+AC0-Time,Temporary,Sales,1961+AC0-06+AC0-16,Vp,Male,High School,64,6,29000,Yes
3557,Nicholas,Obrien,2019+AC0-02+AC0-13,,Active,Part+AC0-Time,Temporary,Sales,1960+AC0-06+AC0-06,Operator,Male,Master's,65,6,43500,No
3558,Mildred,Gentry,2018+AC0-12+AC0-30,,Active,Part+AC0-Time,Part+AC0-Time,Production       ,1959+AC0-06+AC0-04,Manager,Female,Master's,66,6,58500,No
3559,Wilson K,Adinolfi,2019+AC0-11+AC0-06,2020+AC0-09+AC0-06,Active,Part+AC0-Time,Full+AC0-Time,Production       ,1991+AC0-11+AC0-18,Assistant,Male,High School,33,5,30500,Yes
3560,Joanne,Handschiegl,2022+AC0-06+AC0-01,,Active,Contract,Full+AC0-Time,Production       ,1954+AC0-02+AC0-18,Technician,Female,Master's,71,3,36750,No
3561,Dianna,Blount,2023+AC0-03+AC0-28,,Active,Part+AC0-Time,Temporary,Production       ,1959+AC0-01+AC0-31,Technician,Female,Bachelor's,66,2,27600,No
3562,Jean,Crimmings,2019+AC0-05+AC0-21,2023+AC0-01+AC0-05,Future Start,Contract,Full+AC0-Time,Production       ,1954+AC0-04+AC0-09,Manager,Female,High School,71,6,39000,Yes
3563,Nore,Sadki,2019+AC0-01+AC0-01,,Active,Contract,Full+AC0-Time,Production       ,1946+AC0-10+AC0-15,Driver,Male,High School,78,6,29000,No
3564,Susan,Lundy,2019+AC0-01+AC0-26,2020+AC0-12+AC0-02,Voluntarily Terminated,Full+AC0-Time,Temporary,Production       ,1994+AC0-11+AC0-07,Lineman,Female,Bachelor's,30,6,34800,Yes
3565,Kramer,Keatts,2021+AC0-09+AC0-11,,Active,Part+AC0-Time,Full+AC0-Time,Production       ,1968+AC0-05+AC0-10,Lineman,Male,High School,57,3,24500,No
3566,Maliki,Moumanil,2021+AC0-09+AC0-26,,Active,Part+AC0-Time,Part+AC0-Time,Production       ,1963+AC0-10+AC0-05,Lineman,Male,PhD,61,3,44100,No
3567,Nader,Barton,2023+AC0-03+AC0-04,,Active,Full+AC0-Time,Full+AC0-Time,Production       ,1966+AC0-09+AC0-02,Technician,Male,PhD,58,2,41400,No
3568,Quinn,Rarrick,2023+AC0-07+AC0-11,2023+AC0-07+AC0-29,Voluntarily Terminated,Full+AC0-Time,Part+AC0-Time,Production       ,1974+AC0-12+AC0-08,Foreman,Male,Bachelor's,50,2,27600,Yes
